PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
Tiffany Hayes,13,6-16,2-4,1-2,7,1,6,0,0,0,2,2,16
Stefanie Dolson,6,2-4,0-1,0-0,4,0,4,0,0,0,1,1,4
Kate Martin,10,2-10,2-7,2-2,4,0,4,3,3,0,1,2,10
Jackie Young,DNP,,,,,,,,,,,,
TEAM,,25-65,6-19,4-5,42,6,36,10,5,1,8,9,63
,,38.5%,31.6%,80.0%,,,,,,,,,
Courtney Vandersloot,11,2-11,1-5,0-0,6,1,5,1,2,1,2,2,5
Jewell Loyd,12,5-8,0-1,0-0,4,2,2,0,0,0,2,1,10
Breanna Stewart,14,7-17,0-4,2-3,13,1,12,3,0,2,2,1,17
DiJonai Carrington,7,1-10,0-3,0-1,3,0,3,2,3,1,3,3,2
Rickea Jackson,9,3-10,1-2,1-1,3,0,3,0,0,0,2,2,9
Aaliyah Edwards,4,0-1,0-0,0-1,3,1,2,1,1,1,0,1,0
TEAM,,18-57,2-15,3-6,41,7,34,7,6,5,11,10,43
,,31.6%,13.3%,50.0%,,,,,,,,,
Natasha Cloud,15,3-12,0-4,0-0,7,0,7,9,0,0,3,0,6
Satou Sabally,12,10-17,5-6,2-2,3,1,2,1,0,0,5,6,29
Katie Lou Samuelson,14,3-7,0-2,0-0,3,1,2,4,1,0,0,3,6
Natisha Hiedeman,6,1-3,0-2,1-1,2,1,1,3,0,0,0,1,4
Brittney Griner,15,14-18,0-0,1-1,9,1,8,1,1,0,0,0,29
Marina Mabrey,DNP,,,,,,,,,,,,
Sabrina Ionescu,DNP,,,,,,,,,,,,
TEAM,,31-57,5-14,4-4,28,5,23,18,2,0,8,10,74
,,54.4%,35.7%,100.0%,,,,,,,,,
Rickea Jackson,18,10-21,2-6,1-1,4,1,3,1,1,0,1,3,24
Courtney Vandersloot,13,3-12,0-5,1-1,7,4,3,4,0,0,2,1,8
Breanna Stewart,18,8-17,2-7,5-6,11,1,10,3,2,0,1,0,27
NaLyssa Smith,5,1-2,0-0,0-0,0,0,0,1,0,0,1,3,2
Aaliyah Edwards,7,3-3,0-0,1-2,3,1,2,0,0,0,2,2,8
Jewell Loyd,DNP,,,,,,,,,,,,
DiJonai Carrington,DNP,,,,,,,,,,,,
TEAM,,25-55,4-18,8-10,29,8,21,9,3,0,7,9,69
,,45.5%,22.2%,80.0%,,,,,,,,,
Kayla McBride,16,7-14,2-4,4-4,4,0,4,3,1,0,4,1,22
Alyssa Thomas,10,5-9,0-0,2-4,12,3,9,4,2,0,2,0,14
Tiffany Hayes,13,11-19,4-8,0-0,4,1,3,2,1,0,1,4,26
Stefanie Dolson,9,4-6,1-1,1-1,5,1,4,0,0,1,1,0,10
Kate Martin,11,5-11,1-5,0-0,3,1,2,1,1,0,0,4,11
Jackie Young,DNP,,,,,,,,,,,,
TEAM,,32-59,8-18,7-9,32,7,25,10,5,1,8,9,83
,,54.2%,44.4%,77.8%,,,,,,,,,
Dearica Hamby,13,9-15,0-2,0-0,8,2,6,2,4,0,2,5,18
Rhyne Howard,14,6-12,3-7,1-1,4,0,4,4,1,0,2,1,16
Arike Ogunbowale,12,5-12,4-8,1-1,2,0,2,4,1,1,1,2,16
Jordin Canada,9,6-11,1-2,1-2,2,0,2,4,0,0,0,2,14
Rae Burrell,6,4-6,1-2,1-1,2,0,2,1,0,0,2,1,11
Aliyah Boston,7,2-3,0-0,0-0,2,0,2,0,0,1,0,2,4
TEAM,,32-59,9-21,4-5,25,3,22,15,6,2,7,13,79
,,54.2%,42.9%,80.0%,,,,,,,,,
Jewell Loyd,15,3-11,2-5,3-3,5,1,4,7,1,0,3,3,13
Rickea Jackson,15,3-10,0-3,2-2,3,1,2,2,0,0,2,4,10
Breanna Stewart,16,10-18,0-3,0-2,9,0,9,2,2,1,4,3,20
Courtney Vandersloot,8,4-6,0-0,1-1,4,0,4,2,0,0,0,2,9
Aaliyah Edwards,9,5-9,0-0,2-2,5,2,3,0,1,1,1,1,14
DiJonai Carrington,DNP,,,,,,,,,,,,
NaLyssa Smith,DNP,,,,,,,,,,,,
TEAM,,25-54,2-11,8-10,33,6,27,13,4,2,10,13,66
,,46.3%,18.2%,80.0%,,,,,,,,,
Angel Reese,8,2-6,0-0,0-0,6,1,5,1,1,0,3,4,4
Kahleah Copper,12,7-16,2-5,1-1,4,1,3,0,1,0,1,3,18
